module,gene_symbol,module_class
HALLMARK_INFLAMMATORY_RESPONSE,Slc4a4,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Slc7a1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Slc7a2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Sphk1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Sri,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Stab1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tacr1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tacr3,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tapbp,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Timp1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tlr1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tlr2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tlr3,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tnfaip6,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tnfrsf1b,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tnfrsf9,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tnfsf10,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tnfsf15,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tnfsf9,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Tpbg,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Vip,inflammatory
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Abcb7,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Acaa1a,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Acaa2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Acadm,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Acadsb,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Acadvl,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Acat1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Aco2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Afg3l2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Aifm1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Alas1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Aldh6a1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp1b1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5a1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5b,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5c1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5d,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5e,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5g1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5g2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5g3,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5h,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5j,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5j2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5k,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5l,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5o,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp5pb,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp6ap1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp6v0b,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp6v0c,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp6v0e,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp6v1c1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp6v1d,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp6v1e1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp6v1f,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp6v1g1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Atp6v1h,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Bax,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Bckdha,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Bdh2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Casp7,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Cox10,mitochondrial
