gene_name,selected_probe_id,GSM2510565,GSM2510566,GSM2510567,GSM2510568,GSM2510569,GSM2510570,GSM2510571,GSM2510572,GSM2510573,GSM2510574,GSM2510575,GSM2510576
Sesn2,A_51_P161354,1.99868289,2.197227942,2.168460038,2.12849237,2.20907862,2.32764309,2.079030385,2.136661878,2.286456798,2.278453633,2.377884738,2.265367073
Sesn3,ri|9130209A03|PX00061O04|1660,1.803665474,1.796705685,1.830543016,1.555631348,1.680297705,1.926104786,1.181408947,1.546760986,1.744954001,1.554773343,1.47379016,1.713089959
Sestd1,A_55_P1988760,1.635590931,1.597652517,1.405626796,1.473304209,1.383939283,1.232238489,1.059519778,1.355262882,1.388423882,1.427076507,1.419956749,1.473598904
Set,A_55_P2160682,1.212261238,1.24044549,1.132354445,0.863799734,1.18468885,1.095024279,0.893947288,0.988159757,1.118573188,0.982493588,1.204491605,1.105340424
Setbp1,A_52_P230167,2.125276951,2.24934893,2.184534352,2.093312309,1.959311899,1.783896474,2.028250315,1.823277203,1.909992644,1.878256688,1.842579693,2.011974067
Setd1a,A_55_P1960708,-0.11370733,0.086649977,-0.178061193,-0.400129816,-0.251648386,-0.301776389,-0.476983234,-0.380388231,-0.391294876,-0.225590681,-0.401176785,-0.260458164
Setd1b,A_52_P468033,3.637749548,3.810486342,3.820373327,3.253263984,3.383911617,3.535740748,3.497246035,3.294020878,3.481473505,3.165991088,3.386514489,3.425519399
Setd2,A_51_P110395,0.50192846,0.47725306,0.658260487,0.218416283,0.403888291,0.325895183,0.05734312,0.319173157,0.359004643,0.382180929,0.244314826,0.402421421
Setd3,A_55_P2065971,2.108130728,1.918744355,2.052257821,1.718341952,1.998111596,1.919929518,1.671411997,1.938164982,1.803187785,1.932663314,1.914007556,2.060818045
Setd4,A_55_P2052425,-0.727575813,-0.709669253,-0.896352789,-0.823236925,-1.066229703,-1.005022407,-0.867933503,-0.976878596,-1.045682517,-0.886715729,-0.913654387,-0.884283709
Setd5,NONMMUT058399,1.811625168,2.16706948,1.99591366,2.134096187,1.600882204,1.811172991,2.565962463,1.774820806,2.044648786,2.399311715,2.001635222,1.502408688
Setd6,A_51_P342271,1.002072194,0.943843923,0.900232573,0.873767085,0.968424593,0.800805867,0.801783063,0.856704971,0.948607961,1.016802423,0.903477039,0.937305313
Setd7,A_51_P511949,3.045347667,2.907436003,2.845637092,2.618617153,2.803402229,2.56958547,2.317723858,2.479999421,2.385705575,2.494915832,2.499025957,2.653387599
Setdb1,A_55_P1965635,0.865327118,0.838480596,0.690471105,0.551708123,0.70595331,0.601671411,0.740638462,0.688273257,0.694360351,0.557706869,0.633580936,0.816643821
Setdb2,A_55_P2045622,-1.885825859,-1.956285091,-1.479392472,-1.892553875,-1.78368125,-1.89310339,-2.000514949,-1.861940338,-1.846267881,-1.858201812,-1.89767325,-1.638968886
